date,hour,org
2024-12-04,2,452738
2024-12-04,0,442539
2024-12-04,3,449265
2024-12-04,1,455881
2024-12-04,2,37863
2024-12-04,2,454263
2024-12-04,0,452775
2024-12-04,1,454001
2024-12-04,0,453914
2024-12-04,0,454033
2024-12-04,0,453050
2024-12-04,0,451995
2024-12-04,0,451617
2024-12-04,0,451568
2024-12-04,0,436247
2024-12-04,0,454052
2024-12-04,1,439344
2024-12-04,0,450906
2024-12-04,0,447114
2024-12-04,0,451685
2024-12-04,1,438316
2024-12-04,2,453178
2024-12-04,0,20431
2024-12-04,1,455386
2024-12-04,0,448823
2024-12-04,0,455037
2024-12-04,1,445935
2024-12-04,2,451993
2024-12-04,0,454551
2024-12-04,1,436247
2024-12-04,5,449475
2024-12-04,1,449388
2024-12-04,0,450099
2024-12-04,0,447008
2024-12-04,0,448929
2024-12-04,1,448001
2024-12-04,0,451360
2024-12-04,0,454099
2024-12-04,4,436247
2024-12-04,1,450720
2024-12-04,2,453571
2024-12-04,0,450791
2024-12-04,0,451998
2024-12-04,0,456954
2024-12-03,7,436247
2024-12-03,7,510
2024-12-03,8,510
2024-12-03,9,448980
2024-12-03,8,444174
2024-12-03,8,441469
2024-12-03,9,450179
2024-12-03,9,448841
2024-12-03,10,455580
2024-12-03,10,448930
2024-12-03,10,444321
2024-12-03,10,453659
2024-12-03,11,316420
2024-12-03,11,446688
2024-12-03,11,445601
2024-12-03,11,444416
2024-12-03,11,929
2024-12-03,11,430115
2024-12-03,12,448929
2024-12-03,13,452366
2024-12-03,13,452889
2024-12-03,13,452918
2024-12-03,14,452889
2024-12-03,13,449169
2024-12-03,13,455843
2024-12-03,14,452413
2024-12-03,14,441469
2024-12-03,16,451557
2024-12-03,16,445601
2024-12-03,17,451557
2024-12-03,18,445601
2024-12-03,17,452918
2024-12-03,17,510
2024-12-03,17,453602
2024-12-03,19,453408
2024-12-03,18,451654
2024-12-03,20,451557
2024-12-03,19,453378
2024-12-03,21,446097
2024-12-03,21,454126
2024-12-03,20,430115
2024-12-03,20,446782
2024-12-03,20,448980
2024-12-03,20,444321
2024-12-03,21,455580
2024-12-03,22,436247
2024-12-03,21,42
2024-12-03,23,450827
2024-12-03,22,452738
2024-12-03,1,1350
2024-12-03,5,447262
2024-12-03,7,446218
2024-12-03,9,799
2024-12-03,9,443081
2024-12-03,9,449950
2024-12-03,9,445334
2024-12-03,10,451933
2024-12-03,11,447209
2024-12-03,11,455186
2024-12-03,11,454853
2024-12-03,12,442539
2024-12-03,12,455186
2024-12-03,12,438503
2024-12-03,13,438503
2024-12-03,13,455186
2024-12-03,13,449453
2024-12-03,13,450179
2024-12-03,14,452801
2024-12-03,14,455970
2024-12-03,15,453379
2024-12-03,15,451624
2024-12-03,15,438503
2024-12-03,15,455970
2024-12-03,14,453361
2024-12-03,14,314371
